ID;name;budget;currency_code;description;startsAt;endsAt;traveller_ID
b5c8d3a2-6f9e-4a1b-8d7c-000000000001;Dubai Desert Adventure;8500.00;USD;An unforgettable journey through the golden dunes of the Arabian desert, featuring a luxury overnight safari camp, sunrise hot air balloon rides, and traditional Bedouin hospitality. Guests enjoy camel trekking, sandboarding, and authentic Emirati cuisine under the stars. The package also includes guided tours of modern Dubai landmarks, blending ancient tradition with contemporary luxury.;2026-07-10T10:00:00Z;2026-07-17T10:00:00Z;7f3a9c2e-1b4d-4e6a-8c1f-000000000001
b5c8d3a2-6f9e-4a1b-8d7c-000000000002;Singapore City Lights Tour;6200.00;USD;Discover the vibrant blend of cultures in Singapore with this curated city tour. Explore the futuristic Gardens by the Bay, stroll through historic Chinatown and Little India, and savour world famous street food at bustling hawker centres. Evenings bring dazzling light shows at Marina Bay, rooftop dining, and river cruises along Clarke Quay.;2026-09-05T10:00:00Z;2026-09-10T10:00:00Z;7f3a9c2e-1b4d-4e6a-8c1f-000000000001
b5c8d3a2-6f9e-4a1b-8d7c-000000000003;Paris Romance Tour;4500.00;EUR;Fall in love with the City of Light on this romantic escape through Paris. Wander hand in hand along the Seine, ascend the Eiffel Tower at sunset, and explore the artistic treasures of the Louvre. Enjoy candlelit dinners in Montmartre, leisurely cafe mornings, and a private boat cruise beneath illuminated bridges.;2026-08-14T10:00:00Z;2026-08-21T10:00:00Z;7f3a9c2e-1b4d-4e6a-8c1f-000000000002
b5c8d3a2-6f9e-4a1b-8d7c-000000000004;Bali Beach Getaway;18500.00;INR;Relax and rejuvenate on the tropical shores of Bali with this dreamy beach getaway. Lounge on pristine sands, surf gentle waves, and unwind with traditional Balinese spa treatments. Explore lush rice terraces, sacred temples, and vibrant local markets. Sunset yoga sessions and fresh seafood feasts complete this island paradise.;2026-11-02T10:00:00Z;2026-11-12T10:00:00Z;7f3a9c2e-1b4d-4e6a-8c1f-000000000002
b5c8d3a2-6f9e-4a1b-8d7c-000000000005;New York Broadway Experience;7800.00;USD;Experience the dazzling energy of New York City with premium Broadway show tickets and guided city tours. Walk through Central Park, visit the Statue of Liberty, and take in skyline views from the Empire State Building. Enjoy fine dining in Manhattan, shopping along Fifth Avenue, and the electric atmosphere of Times Square.;2026-10-01T10:00:00Z;2026-10-06T10:00:00Z;7f3a9c2e-1b4d-4e6a-8c1f-000000000003
b5c8d3a2-6f9e-4a1b-8d7c-000000000006;London Royal Heritage Trip;5400.00;GBP;Step into centuries of history on this royal heritage tour of London. Tour Buckingham Palace, the Tower of London, and Westminster Abbey with expert guides. Cruise the River Thames, ride the London Eye, and explore world class museums. Enjoy a traditional afternoon tea and discover charming neighbourhoods.;2027-01-15T10:00:00Z;2027-01-22T10:00:00Z;7f3a9c2e-1b4d-4e6a-8c1f-000000000003
b5c8d3a2-6f9e-4a1b-8d7c-000000000007;Rome Ancient Wonders;4900.00;EUR;Travel back in time through the eternal city of Rome on this immersive historical tour. Marvel at the Colosseum, the Roman Forum, and the Pantheon, then explore Vatican City and the breathtaking Sistine Chapel. Toss a coin into the Trevi Fountain, savour authentic Italian cuisine, and wander cobblestone streets rich with legend.;2026-12-10T10:00:00Z;2026-12-17T10:00:00Z;7f3a9c2e-1b4d-4e6a-8c1f-000000000004
b5c8d3a2-6f9e-4a1b-8d7c-000000000008;Tokyo Cherry Blossom Trip;22000.00;JPY;Witness the magic of spring in Japan with this enchanting cherry blossom tour of Tokyo. Stroll beneath blooming sakura in Ueno Park, visit ancient shrines, and experience the harmony of traditional tea ceremonies. Explore vibrant districts like Shibuya and Asakusa, sample exquisite sushi, and take a day trip to Mount Fuji.;2027-03-28T10:00:00Z;2027-04-10T10:00:00Z;7f3a9c2e-1b4d-4e6a-8c1f-000000000005
b5c8d3a2-6f9e-4a1b-8d7c-000000000009;Rome Culinary Journey;3800.00;EUR;Indulge your senses on a delicious culinary journey through Rome. Join hands on cooking classes with local chefs, tour bustling food markets, and taste authentic pasta, gelato, and regional wines. Discover hidden trattorias, learn the secrets of Italian espresso, and dine in charming piazzas for an unforgettable taste of Italy.;2026-09-20T10:00:00Z;2026-09-25T10:00:00Z;7f3a9c2e-1b4d-4e6a-8c1f-000000000006
b5c8d3a2-6f9e-4a1b-8d7c-000000000010;Bali Wellness Retreat;4100.00;EUR;Restore body and mind at a serene wellness retreat in the heart of Bali. Begin each day with sunrise yoga, meditation, and holistic spa therapies inspired by ancient Balinese traditions. Nourish yourself with organic plant based cuisine, explore tranquil waterfalls, and reconnect with nature among emerald rice fields.;2027-02-05T10:00:00Z;2027-02-15T10:00:00Z;7f3a9c2e-1b4d-4e6a-8c1f-000000000006
